Date,zip,count
5/1/2020,37076,4
5/1/2020,37115,11
5/1/2020,37138,1
5/1/2020,37201,1
5/1/2020,37203,20
5/1/2020,37204,1
5/1/2020,37206,4
5/1/2020,37207,7
5/1/2020,37208,3
5/1/2020,37209,7
5/1/2020,37210,3
5/1/2020,37211,25
5/1/2020,37212,1
5/1/2020,37214,1
5/1/2020,37216,2
5/1/2020,37217,11
5/1/2020,37218,13
5/1/2020,37221,3
5/1/2020,37228,3
5/2/2020,,3
5/2/2020,37013,12
5/2/2020,37203,1
5/2/2020,37204,1
5/2/2020,37205,1
5/2/2020,37207,2
5/2/2020,37209,1
5/2/2020,37210,1
5/2/2020,37211,9
5/2/2020,37214,3
5/2/2020,37217,1
5/3/2020,,1
5/3/2020,37013,10
5/3/2020,37072,2
5/3/2020,37076,2
5/3/2020,37115,4
5/3/2020,37210,2
5/3/2020,37211,2
5/3/2020,37214,1
5/3/2020,37217,2
5/4/2020,,12
5/4/2020,37013,23
5/4/2020,37072,1
5/4/2020,37076,1
5/4/2020,37080,1
5/4/2020,37115,6
5/4/2020,37138,1
5/4/2020,37189,1
5/4/2020,37201,1
5/4/2020,37203,4
5/4/2020,37205,2
5/4/2020,37207,2
5/4/2020,37208,2
5/4/2020,37209,2
5/4/2020,37210,1
5/4/2020,37211,22
5/4/2020,37212,1
5/4/2020,37214,4
5/4/2020,37216,1
5/4/2020,37217,23
5/4/2020,37218,5
5/4/2020,37221,2
5/5/2020,,21
5/5/2020,37013,18
5/5/2020,37027,2
5/5/2020,37076,4
5/5/2020,37080,1
5/5/2020,37115,15
5/5/2020,37138,1
5/5/2020,37203,4
5/5/2020,37206,1
5/5/2020,37207,4
5/5/2020,37208,1
5/5/2020,37209,6
5/5/2020,37210,4
5/5/2020,37211,25
5/5/2020,37213,1
5/5/2020,37214,7
5/5/2020,37216,2
5/5/2020,37217,4
5/5/2020,37218,1
5/6/2020,,3
5/6/2020,37013,23
5/6/2020,37076,2
5/6/2020,37115,15
5/6/2020,37138,1
5/6/2020,37189,1
5/6/2020,37203,3
5/6/2020,37207,4
5/6/2020,37208,1
5/6/2020,37209,6
5/6/2020,37210,3
5/6/2020,37211,13
5/6/2020,37212,2
5/6/2020,37214,3
5/6/2020,37216,4
5/6/2020,37217,12
5/6/2020,37220,1
5/7/2020,,3
5/7/2020,37013,14
5/7/2020,37027,2
5/7/2020,37072,3
5/7/2020,37076,2
5/7/2020,37115,8
5/7/2020,37138,1
5/7/2020,37189,1
5/7/2020,37203,1
5/7/2020,37207,5
5/7/2020,37208,1
5/7/2020,37209,3
5/7/2020,37210,5
5/7/2020,37211,12
5/7/2020,37214,4
5/7/2020,37217,7
5/8/2020,,5
5/8/2020,37013,25
5/8/2020,37115,6
5/8/2020,37138,2
5/8/2020,37204,1
5/8/2020,37205,3
5/8/2020,37207,1
5/8/2020,37209,4
5/8/2020,37210,2
5/8/2020,37211,20
5/8/2020,37212,3
5/8/2020,37214,1
5/8/2020,37216,5
5/8/2020,37217,6
5/8/2020,37218,3
5/9/2020,,1
5/9/2020,37013,4
5/9/2020,37076,2
5/9/2020,37115,1
5/9/2020,37205,1
5/9/2020,37207,1
5/9/2020,37209,1
5/9/2020,37211,5
5/9/2020,37217,3
5/9/2020,37218,1
5/10/2020,37013,4
5/10/2020,37076,1
5/10/2020,37189,1
5/10/2020,37203,1
5/10/2020,37207,1
5/10/2020,37211,4
5/10/2020,37214,1
5/10/2020,37216,1
5/10/2020,37217,5
5/10/2020,37221,1
5/10/2020,37238,1
5/11/2020,,10
5/11/2020,37013,28
5/11/2020,37072,1
5/11/2020,37076,7
5/11/2020,37115,6
5/11/2020,37138,1
5/11/2020,37204,1
5/11/2020,37206,1
5/11/2020,37207,13
5/11/2020,37208,2
5/11/2020,37209,3
5/11/2020,37210,7
5/11/2020,37211,29
5/11/2020,37214,2
5/11/2020,37215,1
5/11/2020,37216,3
5/11/2020,37217,11
5/11/2020,37218,1
5/12/2020,,4
5/12/2020,37013,19
5/12/2020,37027,1
5/12/2020,37072,1
5/12/2020,37076,3
5/12/2020,37080,1
5/12/2020,37115,12
5/12/2020,37189,4
5/12/2020,37203,2
5/12/2020,37205,1
5/12/2020,37207,2
5/12/2020,37208,2
5/12/2020,37209,1
5/12/2020,37210,1
5/12/2020,37211,18
5/12/2020,37214,3
5/12/2020,37216,1
5/12/2020,37217,14
5/12/2020,37221,2
5/12/2020,37228,1
5/13/2020,,9
5/13/2020,37013,41
5/13/2020,37027,1
5/13/2020,37072,3
5/13/2020,37076,5
5/13/2020,37115,9
5/13/2020,37138,1
5/13/2020,37203,3
5/13/2020,37205,1
5/13/2020,37207,11
5/13/2020,37209,1
5/13/2020,37210,4
5/13/2020,37211,29
5/13/2020,37214,7
5/13/2020,37217,8
5/13/2020,37218,1
5/13/2020,37221,1
5/14/2020,,11
5/14/2020,37013,27
5/14/2020,37072,1
5/14/2020,37076,1
5/14/2020,37115,5
5/14/2020,37189,1
5/14/2020,37205,1
5/14/2020,37206,3
5/14/2020,37207,12
5/14/2020,37208,4
5/14/2020,37209,2
5/14/2020,37210,1
5/14/2020,37211,22
5/14/2020,37214,2
5/14/2020,37216,1
5/14/2020,37217,10
5/14/2020,37218,3
5/14/2020,37219,1
5/15/2020,,5
5/15/2020,37013,32
5/15/2020,37072,1
5/15/2020,37076,4
5/15/2020,37115,15
5/15/2020,37138,1
5/15/2020,37203,6
5/15/2020,37207,6
5/15/2020,37209,6
5/15/2020,37210,3
5/15/2020,37211,24
5/15/2020,37214,1
5/15/2020,37215,1
5/15/2020,37216,2
5/15/2020,37217,8
5/15/2020,37218,1
5/15/2020,37221,3
5/16/2020,,2
5/16/2020,37013,3
5/16/2020,37076,2
5/16/2020,37115,2
5/16/2020,37206,1
5/16/2020,37207,4
5/16/2020,37209,2
5/16/2020,37210,1
5/16/2020,37211,11
5/16/2020,37218,2
5/16/2020,37221,1
5/17/2020,,2
5/17/2020,37013,5
5/17/2020,37115,2
5/17/2020,37138,1
5/17/2020,37203,2
5/17/2020,37209,1
5/17/2020,37210,1
5/17/2020,37211,1
5/17/2020,37212,1
5/17/2020,37215,1
5/17/2020,37217,5
5/17/2020,37218,1
5/18/2020,,2
5/18/2020,37013,43
5/18/2020,37027,1
5/18/2020,37115,4
5/18/2020,37189,3
5/18/2020,37203,4
5/18/2020,37205,1
5/18/2020,37206,1
5/18/2020,37207,8
5/18/2020,37208,2
5/18/2020,37209,12
5/18/2020,37210,3
5/18/2020,37211,48
5/18/2020,37212,1
5/18/2020,37214,3
5/18/2020,37215,1
5/18/2020,37216,1
5/18/2020,37217,13
5/18/2020,37218,1
5/19/2020,,6
5/19/2020,37013,22
5/19/2020,37072,2
5/19/2020,37076,4
5/19/2020,37115,11
5/19/2020,37138,1
5/19/2020,37203,1
5/19/2020,37206,2
5/19/2020,37207,6
5/19/2020,37209,3
5/19/2020,37210,2
5/19/2020,37211,17
5/19/2020,37214,1
5/19/2020,37216,1
5/19/2020,37217,10
5/19/2020,37218,1
5/19/2020,37221,2
5/20/2020,,3
5/20/2020,37013,37
5/20/2020,37072,2
5/20/2020,37076,3
5/20/2020,37115,8
5/20/2020,37138,1
5/20/2020,37189,1
5/20/2020,37203,1
5/20/2020,37205,1
5/20/2020,37206,4
5/20/2020,37207,6
5/20/2020,37208,1
5/20/2020,37209,4
5/20/2020,37210,1
5/20/2020,37211,36
5/20/2020,37216,2
5/20/2020,37217,17
5/20/2020,37218,2
5/20/2020,37221,1
5/21/2020,,4
5/21/2020,37013,34
5/21/2020,37072,4
5/21/2020,37076,2
5/21/2020,37115,23
5/21/2020,37204,1
5/21/2020,37207,4
5/21/2020,37208,2
5/21/2020,37209,3
5/21/2020,37210,5
5/21/2020,37211,31
5/21/2020,37212,1
5/21/2020,37214,3
5/21/2020,37215,1
5/21/2020,37216,1
5/21/2020,37217,11
5/21/2020,37218,1
5/21/2020,37221,3
5/22/2020,,3
5/22/2020,37013,23
5/22/2020,37027,1
5/22/2020,37072,3
5/22/2020,37076,5
5/22/2020,37115,9
5/22/2020,37138,2
5/22/2020,37189,1
5/22/2020,37201,1
5/22/2020,37203,1
5/22/2020,37207,3
5/22/2020,37208,1
5/22/2020,37209,1
5/22/2020,37210,6
5/22/2020,37211,29
5/22/2020,37214,3
5/22/2020,37217,5
5/22/2020,37218,2
5/23/2020,,1
5/23/2020,37013,3
5/23/2020,37076,1
5/23/2020,37115,1
5/23/2020,37138,1
5/23/2020,37207,2
5/23/2020,37209,4
5/23/2020,37210,1
5/23/2020,37211,11
5/23/2020,37214,1
